name,img,desc,down,url,author,ibsn,year,page,category
Managing and Customizing OpenCms 6 Websites,http://www.allitebooks.com/wp-content/uploads/1461/2557157cce3a09d.jpg,"A practical guide to creating and managing your own website with this proven Java/JSP based content management system. This book takes you through the process of creating content rich websites and applications using OpenCms. Although powerful and flexible, OpenCms can be daunting on first approach, but its advanced features reward the investment in learning. This book does not cover?extending the operations of OpenCms with?Java development.?The focus is on OpenCms as a complete CMS platform in itself. It does use some JSP for extensions where required. This book is for anyone who wants to get an OpenCMS website up and running as quickly as possible, whether you are a user, administrator, designer or webmaster. You do not have to be a Java developer to benefit from this book, although a working knowledge of Java, JSP, and XML will help you to get the most from OpenCMS, and this book.",http://file.allitebooks.com/20160419/Managing and Customizing OpenCms 6 Websites.pdf,http://www.allitebooks.com/managing-and-customizing-opencms-6-websites/,Matt Butcher,1904811760,2006,256,Java XML
Create Web Charts with jqPlot,http://www.allitebooks.com/wp-content/uploads/2016/04/Create-Web-Charts-with-jqPlot-400x494.jpg,"Create Web Charts with jqPlotshows how to convert your data into eye-catching, innovative, animated, and highly interactive browser-based charts. This book is suitable for developers of all experience levels and needs: for those who love fast and effective solutions, you can use the jqPlot library to generate charts with amazing effects and animations using only a few lines of code. By the end of the book, you will have a good knowledge of all the elements needed to manage data from every possible source, from high-end scientific instruments to Arduino boards, from simple HTML tables to structured JSON files, and from Matlab calculations to reports in Excel. You will be able to provide cutting-edge charts exploiting the growing power of modern browsers. This book contains content previously published in Beginning JavaScript Charts.",http://file.allitebooks.com/20160418/Create Web Charts with jqPlot.pdf,http://www.allitebooks.com/create-web-charts-with-jqplot/,Fabio Nelli,1484208633,2014,268,JavaScript
Modern X86 Assembly Language Programming,http://www.allitebooks.com/wp-content/uploads/2016/04/Modern-X86-Assembly-Language-Programming.jpg,Modern X86 Assembly Language Programming shows the fundamentals of x86 assembly language programming. It focuses on the aspects of the x86 instruction set that are most relevant to application software development. The book’s structure and sample code are designed to help the reader quickly understand x86 assembly language programming and the computational capabilities of the x86 platform.,http://file.allitebooks.com/20160418/Modern X86 Assembly Language Programming.pdf,http://www.allitebooks.com/modern-x86-assembly-language-programming/,Daniel Kusswurm,1484200659,2014,700,Programming
Web App Testing Using Knockout.JS,http://www.allitebooks.com/wp-content/uploads/2016/04/511Xr7gkunL._SX403_BO1204203200_-400x494.jpg,"As modern web applications grow in complexity and features, developers need tools and frameworks to deliver and maintain solutions with high quality standards. Knockout.JS is an emerging JavaScript presentation framework that promotes a solid solution design in combination with Jasmine, a well-known unit testing library. They both ensure rapid development and maintainability over time, and modification of requirements, reducing errors and addressing expected functionalities. This book is a great starting point to meet all the most important concepts and frameworks involved in modern web application production. Every chapter sequentially introduces a library or a tool as a specific building block of the entire environment, proposing concrete examples and development considerations. By the end of this book, you will have a solid direction to follow when developing a web application, and you will also collect new hints and ideas to improve the delivery process of web applications. What You Will Learn",http://file.allitebooks.com/20160418/Web App Testing Using Knockout.JS.pdf,http://www.allitebooks.com/web-app-testing-using-knockout-js/,Roberto Messora,1783982845,2014,154,Apps
Solr in Action,http://www.allitebooks.com/wp-content/uploads/2016/04/Solr-in-Action.jpg,Solr in Action is a comprehensive guide to implementing scalable search using Apache Solr. This clearly written book walks you through well-documented examples ranging from basic keyword searching to scaling a system for billions of documents and queries. It will give you a deep understanding of how to implement core Solr capabilities.,http://file.allitebooks.com/20160418/Solr in Action.pdf,http://www.allitebooks.com/solr-in-action/,"Timothy Potter , Trey Grainger",1617291021,2014,664,Data Mining
Redis Cookbook,http://www.allitebooks.com/wp-content/uploads/1460/3757142259b01e8.jpeg,"Two years since its initial release, Redis already has an impressive list of adopters, including Engine Yard, GitHub, Craigslist, and Digg. This open source data structure server is built for speed and flexibility, making it ideal for many applications. If you’re using Redis, or considering it, this concise cookbook provides recipes for a variety of issues you’re likely to face. Each recipe solves a specific problem, and provides an in-depth discussion of how the solution works. You’ll discover that Redis, while simple in nature, offers extensive functionality for manipulating and storing data.",http://file.allitebooks.com/20160418/Redis Cookbook.pdf,http://www.allitebooks.com/redis-cookbook/,"Fred Oliveira , Tiago Macedo",1449305040,2011,74,Computer Science
"Learning PHP, MySQL & JavaScript, 4th Edition",http://www.allitebooks.com/wp-content/uploads/2016/04/Learning-PHP-MySQL-JavaScript.jpg,"Build interactive, data-driven websites with the potent combination of open-source technologies and web standards, even if you only have basic HTML knowledge. With this popular hands-on guide, you’ll tackle dynamic web programming with the help of today’s core technologies: PHP, MySQL, JavaScript, jQuery, CSS, and HTML5. Explore each technology separately, learn how to use them together, and pick up valuable web programming practices along the way. At the end of the book, you’ll put everything together to build a fully functional social networking site, using XAMPP or any development stack of your choice.","http://file.allitebooks.com/20160417/Learning PHP, MySQL & JavaScript, 4th Edition.pdf",http://www.allitebooks.com/learning-php-mysql-javascript-4th-edition/,Robin Nixon,1491918667,2014,812,PHP MySQL
Pro Spring 2.5,http://www.allitebooks.com/wp-content/uploads/2016/04/Pro-Spring-2.5.jpg,"The move from so–called heavyweight architectures, such as Enterprise JavaBeans, toward lightweight frameworks, like Spring, has not stopped since Pro Spring was published by Rob Harrop and Jan Machacek in 2005; in fact, it’s picked up pace. The Spring Framework remains the leader in this move and provides a platform on which you can build your own applications and services. Pro Spring 2.5 covers the new features of Spring 2.5, but moreover, it is focused on the best practices and core standards of contemporary Spring development. As members of the Spring development team at Cake Solutions, the author team brings extensive practical experience gained from working with Spring since version 1.0 and delivering successful systems on top of it. Learn the approaches that really matter in a professional, enterprise–level environment, so you can apply them to your projects today, safe in the knowledge that they just work. What you’ll learn",http://file.allitebooks.com/20160417/Pro Spring 2.5.pdf,http://www.allitebooks.com/pro-spring-2-5/,"Aleksa Vukotic , Anirvan Chakraborty , Jan Machacek , Jessica Ditt",1590599217,201,920,Java
Magento 1.3: PHP Developer’s Guide,http://www.allitebooks.com/wp-content/uploads/1460/515712d1d0ea55c.jpeg,"Magento is the most powerful e-commerce solution around and has gained popularity in a short period of time. You can create and manage online stores using the extensive suite of powerful tools it offers. However, because of its powerful features, developing with Magento can be easier said than done. This book will show you how to develop better and do more with the Magento. You will be able to extend and customize modules for the Magento system without editing the core system code. It will show you how to create both basic and advanced functionality modules for your store and help you turn your ideas for extending Magento into reality by building modules from scratch. This book starts by walking you through the server requirements for installing Magento making sure Magneto’s installation and upgrade process can fit into your workflow and suit your hosting environment setup. Then it runs through the architecture behind Magento’s system, covering the core file structure and how the template system works. You’ll also learn how to build a basic shipping module, payment module, and a brand management module for Magento. As you delve deeper into the book you will learn how to integrate your favorite CMS into Magento for data portability. By the end of the book you will be able to take your basic knowledge of Magento and turn it into something advanced that will help you develop turn your ideas for extending Magento into reality. Learn how to develop with the next generation of e-commerce system, Magento. What you will learn from this book",http://file.allitebooks.com/20160417/Magento 1.3 PHP Developer's Guide.pdf,http://www.allitebooks.com/magento-1-3-php-developers-guide/,Jamie Huskisson,1847197426,2010,260,CMS
Magento 1.4 Theming Cookbook,http://www.allitebooks.com/wp-content/uploads/1460/515712d1cc6dc93.jpeg,"Magento is the fastest growing PHP-based ecommerce solution. It is a professional, polished application that can be extended or customized with PHP code. Magento theming is a very interesting topic but it can be difficult to get the hang of. Magento 1.4 Theming Cookbook is like a toolbox for building Magento themes. Thanks to its cookbook approach, the recipes found in this book can be applied in almost any Magento theme. This book will help you to create a Magento theme using recipes in a step-by-step approach. Although you can dive into any individual recipe, the cookbook is organized in a way that will help beginners learn Magento theming by doing. More advanced users can refer to just the recipes that will be useful to them. You will learn how to add sliders, Cufon font replacements, social media, lightbox, and much more! What you will learn from this book",http://file.allitebooks.com/20160417/Magento 1.4 Theming Cookbook.pdf,http://www.allitebooks.com/magento-1-4-theming-cookbook/,Jose Argudo Blanco,1849514240,2011,200,CMS
"iMac For Dummies, 9th Edition",http://www.allitebooks.com/wp-content/uploads/1460/515712d1c7d714d.jpg,"Take a bite out of your iMac with this bestselling guide Even if you’re already in love with your iMac, it helps to have a little guidance to really get the most out of this ultimate all-in-one computer. With loads of updated and brand new content, this new edition of iMac For Dummies quickly and easily teaches you the iMac fundamentals, from setting up and personalizing your machine to importing files, using your favorite programs and apps, and everything in between. Trusted Mac expert and bestselling author Mark L. Chambers guides you through the latest iMac features and the next generation iMac hardware, the newest version of OS X, productivity apps, the latest trends and tools in the market, and so much more. Whether you want to back up your photos and data on iCloud, add apps from the Mac App Store, or get creative with applications,iMac For Dummies shows you how to do it all. Whatever you can dream up, anything’s possible with iMac and a little help from this fun and friendly guide!","http://file.allitebooks.com/20160417/iMac For Dummies, 9th Edition.pdf",http://www.allitebooks.com/imac-for-dummies-9th-edition/,Mark L. Chambers,1119241545,2016,432,Hardware & DIY
"Android Application Development Cookbook, Second Edition",http://www.allitebooks.com/wp-content/uploads/1460/65571181aa5eab1.jpg,"The Android OS has the largest installation base of any operating system in the world; there has never been a better time to learn Android development to write your own applications, or to make your own contributions to the open source community! This “cookbook” will make it easy for you to jump to a topic of interest and get what you need to implement the feature in your own application. If you are new to Android and learn best by “doing,” then this book will provide many topics of interest. Starting with the basics of Android development, we move on to more advanced concepts, and we’ll guide you through common tasks developers struggle to solve. The first few chapters cover the basics including Activities, Layouts, Widgets, and the Menu. From there, we cover fragments and data storage (including SQLite), device sensors, the camera, and GPS. Then we move on more advanced topics such as graphics and animation (including OpenGL), multi-threading with AsyncTask, and Internet functionality with Volley. We’ll also demonstrate Google Maps and Google Cloud Messaging (also known as Push Notifications) using the Google API Library. Finally, we’ll take a look at several online services designed especially for Android development. Take your application big-time with full Internet web services without having to become a server admin by leveraging the power of Backend as a Service (BaaS) providers. What You Will Learn","http://file.allitebooks.com/20160416/Android Application Development Cookbook, Second Edition.pdf",http://www.allitebooks.com/android-application-development-cookbook-second-edition/,"Kyle Mew , Rick Boyer",1785886193,2016,428,Android
Designing Machine Learning Systems with Python,http://www.allitebooks.com/wp-content/uploads/1460/65571181a5b3c57.jpg,"Machine learning is one of the fastest growing trends in modern computing. It has applications in a wide range of fields, including economics, the natural sciences, web development, and business modeling. In order to harness the power of these systems, it is essential that the practitioner develops a solid understanding of the underlying design principles. There are many reasons why machine learning models may not give accurate results. By looking at these systems from a design perspective, we gain a deeper understanding of the underlying algorithms and the optimisational methods that are available. This book will give you a solid foundation in the machine learning design process, and enable you to build customised machine learning models to solve unique problems. You may already know about, or have worked with, some of the off-the-shelf machine learning models for solving common problems such as spam detection or movie classification, but to begin solving more complex problems, it is important to adapt these models to your own specific needs. This book will give you this understanding and more. What You Will Learn",http://file.allitebooks.com/20160416/Designing Machine Learning Systems with Python.pdf,http://www.allitebooks.com/designing-machine-learning-systems-with-python/,David Julian,1785882953,2016,252,Datebases Computer Science
Flask By Example,http://www.allitebooks.com/wp-content/uploads/1460/65571181a10bdd9.jpg,"This book will take you on a journey from learning about web development using Flask to building fully functional web applications. In the first major project, we develop a dynamic Headlines application that displays the latest news headlines along with up-to-date currency and weather information. In project two, we build a Crime Map application that is backed by a MySQL database, allowing users to submit information on and the location of crimes in order to plot danger zones and other crime trends within an area. In the final project, we combine Flask with more modern technologies, such as Twitter’s Bootstrap and the NoSQL database MongoDB, to create a Waiter Caller application that allows restaurant patrons to easily call a waiter to their table. This pragmatic tutorial will keep you engaged as you learn the crux of Flask by working on challenging real-world applications. What You Will Learn",http://file.allitebooks.com/20160416/Flask By Example.pdf,http://www.allitebooks.com/flask-by-example/,Gareth Dwyer,1785286935,2016,276,Python
Liferay Portal Enterprise Intranets,http://www.allitebooks.com/wp-content/uploads/1460/6557118197db282.jpeg,"Learn, with the help of practical examples, how to implement a complete corporate intranet using the features of Liferay. This book is for System Administrators or experienced users (not necessarily programmers) who want to install and use Liferay in their teams or businesses without dealing with complex code. Pre-knowledge of Liferay is not expected for this book.",http://file.allitebooks.com/20160416/Liferay Portal Enterprise Intranets.pdf,http://www.allitebooks.com/liferay-portal-enterprise-intranets/,Jonas X. Yuan,1847192726,2008,404,"Networks, Protocols & APIs"
Learning Proxmox VE,http://www.allitebooks.com/wp-content/uploads/1460/6557118193311c3.jpg,"Unleash the power of Proxmox VE by setting up a dedicated virtual environment to serve both containers and virtual machines About This Book Create virtual machines and containers from the comfort of your workstation using Proxmox VE’s web-based management interface Maximize performance, security, and the quality of virtual services by tailoring container and virtual machine configurations based on established best practices Put theory to practice by deploying virtual servers that promise portability, modularity, flexibility, security, and quality of service at any scale Who This Book Is For This book is intended for server and system administrators and engineers who are eager to take advantage of the potential of virtual machines and containers to manage servers more efficiently and make the best use of resources, from energy consumption to hardware utilization and physical real estate What You Will Learn Install and configure Proxmox VE Create new virtual machines and containers Import container templates and virtual appliances Optimize virtual machine performance for common use cases Apply the latest security patches to a Proxmox VE host Contrast PVE virtual machines and containers to recognize their respective use cases Secure virtual machines and containers Assess the benefits of virtualization on budgets, server real estate, maintenance, and management time In Detail Proxmox VE 4.1 provides an open source, enterprise virtualization platform on which to host virtual servers as either virtual machines or containers. This book will support your practice of the requisite skills to successfully create, tailor, and deploy virtual machines and containers with Proxmox VE 4.1. Following a survey of PVE’s features and characteristics, this book will contrast containers with virtual machines and establish cases for both. It walks through the installation of Proxmox VE, explores the creation of containers and virtual",http://file.allitebooks.com/20160416/Learning Proxmox VE.pdf,http://www.allitebooks.com/learning-proxmox-ve/,Rik Goldman,1783981784,2016,224,Operating Systems
Magento 1.3 Theme Design,http://www.allitebooks.com/wp-content/uploads/1460/655711818e8d05a.jpg,Magento 1.3 Theme Design is a step-by-step guide to creating custom themes for Magento. The author’s experience in Magento theming enables him to design a book that lessens the steep learning curve associated with Magento theming. The author uses code examples and ideas that facilitate learning and make Magento theme development a great learning experience. Magento 1.3 Theme Design is written for those who are familiar with Magento and know the Magento basics and now want to customize the look and feel. The book assumes familiarity with CSS and (X)HTML. The book is also aimed at store owners who want to customize their e-commerce store and web designers who want to sell their custom-made Magento themes. Seasoned theme designers will find very useful tips and hints in this book.,http://file.allitebooks.com/20160416/Magento 1.3 Theme Design.pdf,http://www.allitebooks.com/magento-1-3-theme-design/,Richard Carter,1847196640,2009,188,Web Development
Learning Website Development with Django,http://www.allitebooks.com/wp-content/uploads/1460/6557118189e7854.jpg,"This book is a beginner’s guide to design, develop, and deploy a fully-featured dynamic website using the features of Django. This book is for web developers who want to see how to build a complete site with Web 2.0 features, using the power of a proven and popular development system, but do not necessarily want to learn how a complete framework functions in order to do this. Basic knowledge of Python development is required for this book, but no knowledge of Django is expected.",http://file.allitebooks.com/20160416/Learning Website Development with Django.pdf,http://www.allitebooks.com/learning-website-development-with-django/,Ayman Hourieh,1847193358,2008,264,Web Development
Lighttpd,http://www.allitebooks.com/wp-content/uploads/1460/65571181854f065.jpeg,"This is your fast guide to getting started and getting inside the Lighttpd web server. Written from a developer’s perspective, this book helps you understand Lighttpd, and get it set up as securely and quickly as possible. This book is for System Administrators or Web Developers seeking a lean deployment platform for web applications or who want to switch to a “lighter” web server than Apache.",http://file.allitebooks.com/20160416/Lighttpd.pdf,http://www.allitebooks.com/lighttpd/,Andre Bogus,1847192106,2008,253,Web Development
Ruby in Practice,http://www.allitebooks.com/wp-content/uploads/2016/04/Ruby-in-Practice.jpg,"Ruby in Practice increases your productivity by showing you specific Ruby techniques you can use in your projects. The book offers detailed strategies for using Ruby in a large-scale environment. You’ll see concrete examples of integration, messaging, web development, and databases, all presented in a clear Problem/Solution format. This book won’t help you push your deadline back, but it will help you get the job done in less time. Above all, Ruby in Practice is a practical book for developers who want an in depth understanding of the Ruby language and its toolset. The book is divided into three major parts. The first part concentrates on issues that developers face both from within their organizations and from their peers. The authors weigh the costs and benefits of using Ruby in enterprise development projects, the over-riding theme being that every developer should always aim to use the right tool for any particular job. The authors then examine the pros and cons of developing with Ruby, and where appropriate, compare Ruby to other languages, both conceptually and in code. The second part discusses techniques for communication and integration of systems. The authors describe how libraries and techniques are used to facilitate messaging, web development and communication automation. They also focus on how the strategies in the first section can be used with these libraries to make development more flexible and efficient. The last part shows how to manage data and integrate with existing data using Ruby. The authors describe techniques for using existing Ruby libraries that either replace popular Java libraries or can interface with existing data in a different way. They go on to show you how strategies covered in the first section can be used to enable Ruby to interact with existing assets or to build new data systems.",http://file.allitebooks.com/20160414/Ruby in Practice.pdf,http://www.allitebooks.com/ruby-in-practice/,"Assaf Arkin , Jeremy McAnally",1933988479,2009,360,Ruby
Pragmatic Thinking and Learning,http://www.allitebooks.com/wp-content/uploads/1460/66571001eaecedd.jpg,"Software development happens in your head. Not in an editor, IDE, or designtool. You’re well educated on how to work with software and hardware, but what about wetware–our own brains? Learning new skills and new technology is critical to your career, and it’s all in your head. In this book by Andy Hunt, you’ll learn how our brains are wired, and how to take advantage of your brain’s architecture. You’ll learn new tricks and tipsto learn more, faster, and retain more of what you learn. You need a pragmatic approach to thinking and learning. You need to Refactor Your Wetware. Programmers have to learn constantly; not just the stereotypical new technologies, but also the problem domain of the application, the whims of the user community, the quirks of your teammates, the shifting sands of the industry, and the evolving characteristics of the project itself as it is built. We’ll journey together through bits of cognitive and neuroscience, learning and behavioral theory. You’ll see some surprising aspects of how our brains work, and how you can take advantage of the system to improve your own learning and thinking skills. In this book you’ll learn how to:",http://file.allitebooks.com/20160414/Pragmatic Thinking and Learning.pdf,http://www.allitebooks.com/pragmatic-thinking-and-learning/,Andy Hunt,1934356050,2008,288,Software
Learning VirtualDub,http://www.allitebooks.com/wp-content/uploads/1460/66571001e65138c.jpg,"This book gives you all the information you need to make great use of VirtualDub. It provides a practical tutorial to using all of VirtualDub features to edit your videos, add special effects and subtitles, capture great quality videos from analogue sources, and much more. You will also learn how to choose the right settings to get file sizes down without compromising on quality. This book is written by VirtualDub enthusiasts for new and intermediate users. It’s ideal if you are just starting with video processing and want a powerful and free tool, or if you’ve already started with VirtualDub and want to take it further.",http://file.allitebooks.com/20160414/Learning VirtualDub.pdf,http://www.allitebooks.com/learning-virtualdub/,"Georgios Diamantopoulos , John Beuchler , Sohail Salehi",1904811353,2005,212,Software
Silverlight 2 in Action,http://www.allitebooks.com/wp-content/uploads/2016/04/Silverlight-2-in-Action.jpg,"Microsoft describes Silverlight as a “cross-browser, cross-platform plug-in for delivering the next generation of .NET based media experiences and rich interactive applications for the Web.” That’s a really boring description for a really exciting new technology. Anyone who has looked at the demos and gotten a taste of what Silverlight can do knows that Silverlight represents an entirely new level of rich web interface technology for Microsoft developers. With Silverlight 2, developers can use JavaScript, VB, C#, Python, and Ruby to build user-friendly, interactive, and visually-dazzling web applications that work in most major browsers. Silverlight 2 in Action is the first book to cover Silverlight 2, a far more robust implementation of Silverlight than the current 1 release that supports only JavaScript. The much-anticipated 2 release adds powerful new features along with the ability to code in multiple languages and integrate your work with Visual Studio and the new Expression suite of tools. This book delivers real-world examples and in-depth walkthroughs to help you confidently enhance your web applications using Silverlight 2. Silverlight 2 in Action devotes extensive coverage to flexible layout components, the extensible control model, the communication framework, and the data-binding features “all cornerstones of software development. Author and Microsoft MVP Chad Campbell also describes rich media and vivid graphical and animation features. The final chapters include a variety of Silverlight deployment scenarios. In addition to the fundamentals of Silverlight, you’ll be introduced to architectural components such as the Silverlight object model. The book addresses the developer/designer collaboration model Silverlight enables, showing the developer how to include the designer effectively in the project workflow. This model is illustrated throughout the examples. For ongoing reader support, the author will maintain a dedicated book-support website providing up-to-the-minute working examples, complete with source code, all in Silverlight.",http://file.allitebooks.com/20160414/Silverlight 2 in Action.pdf,http://www.allitebooks.com/silverlight-2-in-action/,"Chad A. Campbell , John Stockton",1933988428,2008,425,C#
Beginning C# 6.0 Programming with Visual Studio 2015,http://www.allitebooks.com/wp-content/uploads/1460/93570ee212c19ba.jpg,"Get started with Visual C# programming with this great beginner’s guide “Beginning C# 6.0 Programming” “with Visual Studio 2015″ provides step-by-step directions for programming with C# in the .NET framework. Beginning with programming essentials, such as variables, flow control, and object-oriented programming, this authoritative text moves into more complicated topics, such as web and Windows programming and data access within both database and XML environments. After your introduction to each of the chapters, you are invited to apply your newfound knowledge in Try it Out sections, which reinforce learning and help you understand the practical applications of the new concepts you have explored. Through this approach, you can write useful programming code following each of the steps that you explore in this essential text. Discover the basics of programming with C#, such as variables, expressions, flow control, and functions Discuss how to keep your program running smoothly through debugging and error handling Understand how to navigate your way through key programming elements, such as classes, class members, collections, comparisons, and conversions Explore object-oriented programming, web programming, and Windows programming “Beginning C# 6.0 Programming with Visual Studio 2015″ is a fundamental resource for any programmers who are new to the C# language.",http://file.allitebooks.com/20160414/Beginning C- 6.0 Programming with Visual Studio 2015.pdf,http://www.allitebooks.com/beginning-c-6-0-programming-with-visual-studio-2015/,"Benjamin Perkins , Jacob Vibe Hammer , Jon D. Reid",1119096685,2015,840,C#
"Zimbra: Implement, Administer and Manage",http://www.allitebooks.com/wp-content/uploads/1460/05570d8a85b421b.jpg,"This compact, friendly Administrators Guide contains plenty of step-by-step instructions as well as useful references and checklists. It shows readers how to install and configure Zimbra for use with the web client, Outlook, and mobile devices. Administrators working with Zimbra on Linux or Mac OS X. Administrators who want to set up Zimbra for use in small/medium businesses.","http://file.allitebooks.com/20160413/Zimbra Implement, Administer and Manage.pdf",http://www.allitebooks.com/zimbra-implement-administer-and-manage/,"David Touitou , Marty Resnick",1847192084,2007,236,"Networks, Protocols & APIs"
Learning Raspbian,http://www.allitebooks.com/wp-content/uploads/1460/20570c3f3b61e92.jpeg,"The huge popularity of the Raspberry Pi has led to the development of many excellent operating systems such as Raspbian, which is the official operating system for Raspberry Pi. It is a Debian-based operating system that is specially optimized for the Raspberry Pi hardware. With this book, you will be taken through starting Raspbian after its first boot and move on to learn about the different features of the Raspbian desktop. The book will then walk you through installing different software on your machine to make your work easier, familiarizing you with the console and teaching you how to interact with the Raspbian operating system. Finally, you will be equipped with ample information about other Linux distributions based on Raspbian. Packed full of useful screenshots, this book is an excellent guide to the Raspbian operating system and will ensure your success with the Raspberry Pi! What You Will Learn",http://file.allitebooks.com/20160412/Learning Raspbian.pdf,http://www.allitebooks.com/learning-raspbian/,William Harrington,1784392197,2015,154,Operating Systems Hardware & DIY
Facelets Essentials,http://www.allitebooks.com/wp-content/uploads/1460/20570c3f3698489.jpg,"Facelets is a templating language developed from the ground up with JavaServer Faces in mind. Created in response to the many concerns involving JavaServer Pages (JSP)?when building JavaServer Faces (JSF)?views, Facelets steps outside of the JSP specification and provides a highly performant, JSF–centric view technology. Facelets’ top properties, templating, reuse, and ease of development, allow it to help making JSF a technology suitable for large–scale projects. One of the first things a developer using Facelets finds is that it immediately leads to a reduction in?user interface?code. Facelets Essentials, the first book on Facelets, introduces you to its importance, architecture, and relationship to JSF and the Apache MyFaces web framework. Learn to create your first application using the power and flexibility Facelets offers. Then, master and apply its basic and advanced features including Unified Expression Language, templating and reuse, custom tag development, and more. What you’ll learn",http://file.allitebooks.com/20160412/Facelets Essentials.pdf,http://www.allitebooks.com/facelets-essentials/,"Bruno Aranda , Zubin Wadia",1430210494,2008,84,Java
Learning Selenium Testing Tools with Python,http://www.allitebooks.com/wp-content/uploads/1460/20570c3f31d5114.jpeg,"Selenium WebDriver is a popular automated testing tool for web applications. Python is one of the top programming languages and when used with Selenium it can automate and test web applications. Using Python’s unittest module, you can write test cases in Selenium. Over the years, Selenium has become a very powerful testing platform and many organizations are adopting Selenium WebDriver for creating automated user interface tests. The book’s main aim is to cover the fundamentals related to Python Selenium testing. You will learn how the Selenium WebDriver Python API can be integrated with CI and Build tools to allow tests to be run while building applications. This book will guide you through using the Selenium WebDriver Python client library as well as other tools from the Selenium project. Towards the end of this book, you’ll get to grips with Selenium Grid, which is used for running tests in parallel using nodes for cross-browser testing. It will also give you a basic overview of the concepts, while helping you improve your practical testing skills with Python and Selenium.",http://file.allitebooks.com/20160412/Learning Selenium Testing Tools with Python.pdf,http://www.allitebooks.com/learning-selenium-testing-tools-with-python/,Unmesh Gundecha,1783983507,2014,270,Python
Learning the Yahoo! User Interface Library,http://www.allitebooks.com/wp-content/uploads/1460/20570c3f2d2ddb2.jpeg,"Learning the Yahoo! User Interface Library introduces the popular open-source YUI JavaScript library and takes the user through each of the fully released components in detail looking at the classes that make up each component and the properties and methods that can be used. It includes a series of practical examples to reinforce how each component should/can be used.? Author Dan Wellman takes the reader from beginner to advanced-level YUI usage and understanding. This book is for web developers comfortable with JavaScript and CSS, who want to use the YUI library to easily put together rich, responsive web interfaces. No knowledge of the YUI library is presumed.",http://file.allitebooks.com/20160412/Learning the Yahoo! User Interface Library.pdf,http://www.allitebooks.com/learning-the-yahoo-user-interface-library/,Dan Wellman,1847192327,2008,380,Web Development
Learning Nagios 3.0,http://www.allitebooks.com/wp-content/uploads/2016/04/Learning-Nagios-3.0.jpg,This book focuses on the new features of Nagios and will teach readers to secure their systems in a much improved manner. The target readers for this book are System Administrators interested in using Nagios. This book will introduce Nagios with the new features of Version 3 for System Administrators.,http://file.allitebooks.com/20160412/Learning Nagios 3.0.pdf,http://www.allitebooks.com/learning-nagios-3-0/,Wojciech Kocjan,1847195180,2008,316,Web Development
Node.js in Practice,http://www.allitebooks.com/wp-content/uploads/2016/04/Node.js-in-Practice.jpg,"Node.js in Practice is a collection of fully tested examples that offer solutions to the common and not-so-common issues you face when you roll out Node. You’ll dig into important topics like the ins and outs of event-based programming, how and why to use closures, how to structure applications to take advantage of end-to-end JavaScript apps, and more.",http://file.allitebooks.com/20160411/Node.js in Practice.pdf,http://www.allitebooks.com/node-js-in-practice/,"Alex R. Young , Marc Harter",1617290939,2014,424,JavaScript
Git in Practice,http://www.allitebooks.com/wp-content/uploads/2016/04/Git-in-Practice.jpg,"Git in Practice is a collection of 66 tested techniques that will optimize the way you and your team manage your development projects. The book begins with a brief reminder of the core version control concepts you need when using Git and moves on to the high-value features you may not have explored yet. Then, you’ll dig into cookbook-style techniques like history visualization, advanced branching and rewriting history each presented in a problem-solution-discussion format. Finally you’ll work out how to use Git to its full potential through configuration, team workflows, submodules and using GitHub pull requests effectively.",http://file.allitebooks.com/20160411/Git in Practice.pdf,http://www.allitebooks.com/git-in-practice/,Mike McQuaid,1617291978,2014,272,Programming
BDD in Action,http://www.allitebooks.com/wp-content/uploads/2016/04/BDD-in-Action.jpg,"BDD in Action teaches you the Behavior-Driven Development model and shows you how to integrate it into your existing development process. First you’ll learn how to apply BDD to requirements analysis to define features that focus your development efforts on underlying business goals. Then, you’ll discover how to automate acceptance criteria and use tests to guide and report on the development process. Along the way, you’ll apply BDD principles at the coding level to write more maintainable and better documented code.",http://file.allitebooks.com/20160411/BDD in Action.pdf,http://www.allitebooks.com/bdd-in-action/,John Ferguson Smart,161729165X,2014,324,Programming
